Titolo;Tipologia accordo;Settore;Contraenti;Data stipula;Data decorrenza;Data scadenza economica;Data scadenza contrattuale;Categoria
"CCNL per gli addetti ai lavori di sistemazione idraulico-forestale e idraulico-agraria 7 dicembre 2010";"Testo definitivo";"Agricoltura";"UNCEM;FEDERAZIONE ITALIANA COMUNITA' FORESTALI;FEDERFORESTE;LEGACOOP AGROALIMENTARE;FEDAGRI CONFCOOPERATIVE;FEDERLAVORO E SERVIZI CONFCOOPERATIVE;AGRITAL AGCI;FLAI CGIL;FAI CISL;UILA UIL; (sottoscritto da UGL il 02/02/2011; sottoscritto da ISA il 07/07/2011)";"07/12/2010";"01/01/2010";"";"31/12/2012";"SISTEMAZIONI IDRAULICO FORESTALI"
"Accordo di rinnovo del CCNL 31 ottobre 2014 per i dirigenti delle agenzie marittime raccomandatarie, agenzie aeree e mediatori marittimi";"Accordo di rinnovo";"Trasporti";"FEDERAGENTI; MANAGERITALIA";"13/02/2017";"01/01/2015";"";"31/12/2018";"AGENZIE MARITTIME E AEREE E MEDIATORI MARITTIMI: Dirigenti"
"CCNL per i dipendenti delle imprese esercenti attività del settore "VIGILANZA NON ARMATA E SICUREZZA" delle piccole e medie imprese e della cooperazione";"Testo definitivo";"Commercio";"NORD INDUSTRIALE;FAMAR";"26/02/2015";"01/03/2015";"";"31/12/2018";"VIGILANZA NON ARMATA E SICUREZZA"
"Accordo nazionale di riordino della disciplina del contratto di apprendistato per i dipendenti da imprese della distribuzione cooperativa";"Verbale Integrativo";"Commercio";"ANCC COOP;CONFCOOPERATIVE;AGCI;FILCAMS CGIL;FISASCAT CISL;UILTUCS UIL";"13/06/2012";"13/06/2012";"";"";"COMMERCIO: Cooperative di Consumo"
"Accordo economico collettivo per la disciplina del rapporto di agenzia e di rappresentanza commerciale tra i consorzi agrari e i loro agenti con o senza deposito";"Testo definitivo";"Commercio";"ASSOCAP;ANSACAP";"03/04/2009";"01/01/2009";"";"31/12/2013";"AGENTI E RAPPRESENTANTI DI CONSORZI AGRARI"
"Accordo per il personale della carriera direttiva della Banca d'Italia nell'ambito della trattativa 2006-2009";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;SINDIRETTIVO CIDA;FISAC CGIL;SIBC CISAL;FIBA CISL;UILCA UIL;FABI";"04/11/2009";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Accordo in tema di copertura delle spese sanitarie per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI";"14/01/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"CCNL per i dipendenti delle aziende artigiane e delle piccole imprese industriali edili ed affini";"Testo definitivo";"Edilizia";"CNAI;UNAPI;FISMIC CONFSAL;FILCOM FISMIC";"23/04/2012";"01/05/2012";"";"30/04/2015";"EDILI: P.M.I. Artigiane Cooperative - CNAI"
"Accordo di rinnovo del CCNL 4 novembre 2005 per i quadri direttivi e per il personale delle aree professionali dipendenti da EQUITALIA SPA, RISCOSSIONE SICILIA SPA E SOCIETA' PARTECIPATE";"Accordo di rinnovo";"Credito Assicurazioni";"EQUITALIA SPA;RISCOSSIONE SICILIA SPA;DIRCREDITO FD;FABI;FALCRI;FIBA CISL;FISAC CGIL;SILCEA;SNALEC;UGL;UILCA";"09/04/2008";"09/04/2008";"";"31/12/2010";"Concessionari Servizi Tributi"
"Ipotesi di accordo per il rinnovo del CCNL per i dipendenti della piccola e media industria dei settori: chimica, concia e settori accorpati, plastica e gomma, abrasivi, ceramica e vetro";"Accordo di rinnovo";"Chimici";"UNIONCHIMICA CONFAPI;FILCTEM CGIL;FEMCA CISL;UILCEM UIL";"25/07/2013";"01/01/2013";"";"31/12/2015";"CHIMICA E AFFINI (Piccola e Media Impresa)"
"Accordo in tema di copertura delle spese sanitarie per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FISAC CGIL;SIBC CISAL";"28/04/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Accordo economico collettivo per la disciplina del rapporto di agenzia e rappresentanza commerciale del settore commercio";"Testo definitivo";"Commercio";"CIDEC;UGIFAI";"21/06/2013";"01/06/2013";"";"31/05/2016";"AGENZIA E RAPPRESENTANZA SETTORE COMMERCIO (Cidec-Ugifai)"
"CCNL per i dipendenti e i soci lavoratori delle associazioni";"Testo definitivo";"Altri Vari";"CEPI;UCI;UIL PA";"11/04/2012";"01/01/2012";"";"31/12/2014";"LAVORATORI DELLE ASSOCIAZIONI"
"Ipotesi di Accordo 21 luglio 2011 per il rinnovo del CCNL per dipendenti da imprese di pulizia, di disinfestazione e servizi integrati/multiservizi del 19/12/2007";"Accordo di rinnovo";"Aziende di Servizi";"FNIP CONFCOMMERCIO;FILCAMS CGIL;FISASCAT CISL;UILTRASPORTI UIL";"21/07/2011";"01/01/2010";"";"30/04/2013";"PULIZIA: Imprese (Confcommercio)"
"Accordo per il rinnovo del CCNL per il personale dipendente da imprese di pulizia e servizi integrati/multiservizi";"Accordo di rinnovo";"Aziende di Servizi";"FNIP CONFCOMMERCIO;FILCAMS CGIL;FISASCAT CISL;UILTRASPORTI UIL";"19/12/2007";"01/01/2008";"31/12/2009";"31/12/2011";"PULIZIA: Imprese (Confcommercio)"
"CCNL per i dipendenti da aziende artigiane del legno ed affini";"Testo definitivo";"Edilizia";"CEPA;CONFIMPRESEITALIA;USAE";"28/01/2011";"02/03/2011";"";"01/03/2014";"Aziende Artigiane del Legno ed Affini (CEPA-CONFIMPRESEITALIA-USAE)"
"Adesione della FABI all'accordo cornice in tema di contrattualizzazione del rapporto di impiego del personale della carriera direttiva definito il 18/02/2010";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FABI";"20/04/2010";"";"";"31/12/2012";"BANCARI: Banca D'Italia - carriera Direttiva"
"Accordo in tema di copertura delle spese sanitarie per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI;SINDIRETTIVO CIDA;FABI;FIBA CISL;UILCA UIL";"23/12/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"COLLABORAZIONI Coordinate e Continuative (FEDERTERZIARIO)";"Testo definitivo";"Altri Vari";"FEDERTERZIARIO;FEDERTERZIARIO SUD;ALE UGL";"03/10/2000";"01/10/2000";"";"30/09/2002";"COLLABORAZIONI Coordinate e Continuative (FEDERTERZIARIO)"
"Accordo Economico Collettivo buone prassi per la disciplina dell'attività lavorativa non riconducibile ai rapporti di lavoro subordinato nonché alla valorizzazione dell'attività degli imprenditori e loro familiari, degli amministratori e dei soci (UGL-FOR.ITALY)";"Testo definitivo";"Altri Vari";"FAGRI;FAPI;AIC;SISTEMA INDUSTRIA DELL'AREA VASTA;IMPRENDITORI&IMPRESE;ASPERA;ASSOTEC FAGRI;FOR ITALY;UGL";"14/05/2015";"14/05/2015";"";"31/12/2017";"Rapporti di lavoro non subordinato (FOR.ITALY)"
"Accordo negoziale recante norme in tema di rappresentanti dei lavoratori per la sicurezza";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;SIBC CISAL";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"CCNL sulla disciplina del rapporto di lavoro domestico, badanti e colf del terziario";"Testo definitivo";"Commercio";"COMPIE;ULE;SILSE";"15/12/2011";"19/12/2011";"";"18/12/2014";"Lavoro Domestico Badanti e Colf del Terziario"
"Accordo Economico Collettivo per la disciplina del rapporto di agenzia e rappresentanza commerciale del settore del commercio";"Testo definitivo";"Commercio";"CESAC;FISARC";"09/09/2009";"01/10/2009";"";"30/09/2012";"AGENZIA E RAPPRESENTANZA SETTORE COMMERCIO (Cesac-Fisarc)"
"Accordo in tema di Convenzione per i diritti sindacali";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI";"22/12/2009";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"CCNL per i dipendenti delle micro e piccole imprese esercenti attività nel settore autotrasporto, spedizione merci, logistica ed affini";"Testo definitivo";"Trasporti";"CONFIMPRESEITALIA;FAST AUTOTRASPORTO E SPEDIZIONE MERCI;FAST CAMIONISTI E AUTISTI DIPENDENTI;FAST CONFSAL;CONFSAL";"28/11/2011";"01/01/2012";"";"31/12/2014";"AUTOTRASPORTO E SPEDIZIONE MERCI (CONFIMPRESEITALIA-CONFSAL)"
"Accordo in tema di Convenzione per i diritti sindacali per le Divisioni specializzate nei compiti di vigilanza bancaria e finanziaria della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FISAC CGIL;SINDIRETTIVO CIDA;SIBC CISAL;FABI;FIBA CISL;UILCA UIL";"12/06/2009";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"CCNL per l'attività di "Codista" utilizzata dalle piccole e medie imprese di tutti i settori produttivi";"Testo definitivo";"Altri Vari";"COMFIE;ASSEOPE;CONFAEL";"02/09/2014";"01/10/2014";"";"30/09/2017";"CODISTA: PMI di tutti i settori produttivi"
"Accordo in tema di copertura delle spese sanitarie per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FABI";"28/04/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"Verbale di accordo per il rinnovo del CCNL per i dipendenti delle aziende operanti nei settori legno, sughero, mobile ed arredamento e boschivi e forestali";"Accordo di rinnovo";"Edilizia";"FEDERLEGNOARREDO; FENEAL UIL; FILCA CISL; FILLEA CGIL";"11/09/2013";"01/04/2013";"";"31/03/2016";"LEGNO, ARREDAMENTO: Industrie"
"ELICOTTERI: Trasporto non di linea, manutenzione e riparaz.";"Testo definitivo";"Trasporti";"FISE; AISE; ANPAC; UP";"19/07/2001";"01/01/2001";"";"31/12/2004";"ELICOTTERI: Trasporto non di linea, manutenzione e riparaz."
"Accordo recante la disciplina pattizia attuativa in Banca d'Italia della L.146/1990 e successive modifiche";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI";"22/12/2009";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"CCNL del TRASPORTO AEREO parte specifica VETTORI";"Accordo di rinnovo";"Trasporti";"ASSAEREO; FILT CGIL; FIT CISL; UILTRASPORTI; UGL TRASPORTO AEREO";"17/07/2014";"01/01/2014";"";"31/12/2016";"AEREI: Trasporto Aereo"
"Accordo in tema di copertura delle spese sanitarie per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;UILCA UIL";"28/04/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"CCNL 26 maggio 2009 dei dipendenti da farmacia privata";"Testo definitivo";"Commercio";"FEDERFARMA; FILCAMS CGIL; FISASCAT CISL; UILTUCS UIL";"26/05/2009";"01/02/2006";"";"31/01/2010";"FARMACIE PRIVATE"
"CCNL per i dipendenti delle impreseesercenti attività del settore "PULIZIE" per i lavoratori dipendenti delle imprese esercenti servizi di Pulizie nonché affini ed Ausiliarie al settore del pulimento, della disinfezione, disinfestazione, derattizzazione, sanificazione ed assimilabili ai suindicati settori delle Piccole e Medie Imprese dell'Artigianato e della Cooperazione";"Testo definitivo";"Aziende di Servizi";"NORD INDUSTRIALE;FAMAR";"26/02/2015";"01/03/2015";"";"31/12/2018";"PULIZIA: Imprese, PMI, Artigiane, Cooperative (NORD INDUSTRIALE-FAMAR)"
"Accordo in tema di copertura delle spese sanitarie per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FIBA CISL";"14/01/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"CCNL per i dipendenti delle imprese industriali edili ed affini";"Testo definitivo";"Edilizia";"CNAI;UNAPI;FISMIC CONFSAL;FILCOM FISMIC";"23/04/2012";"01/05/2012";"";"30/04/2015";"EDILI: Industrie - CNAI-UNAPI"
"Verbale di accordo sulla disciplina della successione dei contratti a tempo determinato nel settore delle RSA";"Verbale Integrativo";"Enti e Istituzioni Private";"AIOP;UGL SANITA'";"27/12/2012";"";"";"";"RESIDENZE SANITARIE ASSISTENZIALI (AIOP)"
"CCNL per i dipendenti degli Istituti e Aziende di Vigilanza Privata, Investigazioni e Servizi Fiduciari";"Testo definitivo";"Commercio";"ANPIT;CIDEC;CONFAZIENDA;UNICA;UNIQUALITY;CISAL SINALV;CISAL TERZIARIO;CISAL;(sottoscritto il 20/4/2017 da PMI ITALIA); (sottoscritto da UAI il 5/6/2017)";"15/10/2015";"01/11/2015";"";"31/10/2018";"VIGILANZA PRIVATA, INVESTIGAZIONI E SERVIZI FIDUCIARI"
"Accordo cornice in tema di contrattualizzazione del rapporto di impiego del personale della carriera direttiva";"Accordo di rinnovo";"Credito Assicurazioni";"BANCA D'ITALIA;SINDIRETTIVO CIDA";"18/02/2010";"01/01/2010";"";"31/12/2012";"BANCARI: Banca D'Italia - carriera Direttiva"
"Verbale di Accordo su Contratto a Termine - CCNL del TRASPORTO AEREO - Parte specifica GESTORI AEROPORTUALI";"Verbale integrativo";"Trasporti";"ASSAEROPORTI; FILT CGIL; FIT CISL; UILTRASPORTI; UGL Trasporto Aereo";"01/10/2014";"";"";"";"AEREI: Trasporto Aereo"
"CCNL per i dipendenti da Aziende esercenti attività nel settore del TERZIARIO E SERVIZI";"Testo definitivo";"Commercio";"CNAI;UCICT;FISMIC CONFSAL;FILCOM FISMIC";"27/06/2012";"01/07/2012";"";"30/06/2015";"TERZIARO E SERVIZI - CNAI-UCICT"
"Protocollo d'intesa per la sottoscrizione da parte della "PMI ITALIA" Confederazione Sindacale Datoriale al CCNL per i dipendenti di aziende e cooperative dei settori: Commercio, Servizi, Turismo, Vigilanza e Servizi Fiduciari, stipulati tra le organizzazioni: ANPIT - CIDEC - UNICA e CISAL TERZIARIO con l'assistenza della CISAL";"Verbale Integrativo";"Commercio";"PMI ITALIA;CISAL TERZIARIO;CISAL";"20/04/2017";"";"";"";"VIGILANZA PRIVATA, INVESTIGAZIONI E SERVIZI FIDUCIARI"
"Ipotesi di accordo per il rinnovo della parte economica del Ccnl per il personale dipendente da Fondazioni Liriche e Sinfoniche";"Economico secondo biennio";"Poligrafici e Spettacolo";"ANFOLS;FIALS CISAL;SLC CGIL;FISTEL CISL;UILCOM UIL";"12/02/2007";"01/01/2004";"";"31/12/2006";"ENTI LIRICI"
"Accordo in tema di Convenzione per i diritti sindacali";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FIBA CISL";"22/12/2009";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"CCNL dipendenti dalle scuderie di cavalli da corsa al trotto";"Testo definitivo";"Poligrafici e Spettacolo";"ANAGT;UNAGT;SLC CGIL;FISASCAT CISL;UILCOM UIL";"15/05/2008";"01/06/2007";"31/12/2008";"31/12/2010";"IPPICA: Scuderie Cavalli da Corsa al Trotto"
"CCNL per i dipendenti da aziende artigiane alimentari";"Testo definitivo";"Alimentaristi - Agroindustriale";"CEPA;CONFIMPRESEITALIA;USAE";"28/01/2011";"02/03/2011";"";"01/03/2014";"Aziende Artigiane Alimentari (CEPA-CONFIMPRESEITALIA-USAE)"
"Accordo di rinnovo del CCNL per i piloti collaudatori sperimentatori e di produzione di aziende di costruzioni aerospaziali";"Accordo di rinnovo";"Trasporti";"AIAD;ANPICO";"29/11/2007";"01/01/2008";"";"31/12/2011";"PILOTI Collaudatori Dip. da Az. di Costruzioni Aerospaziali"
"Accordo negoziale in tema di codice etico per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;UILCA UIL";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"Accordo negoziale con il quale viene definito il quadriennio 2006-2009 del personale della carriera operativa, dei servizi generali e di sicurezza e operaia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI;FABI;FIBA CISL";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"CCNL 17/12/2009 per i dipendenti della piccola e media industria dei settori: chimica, concia e settori accorpati, plastica e gomma, abrasivi, ceramica e vetro";"Testo definitivo";"Chimici";"UNIONCHIMICA CONFAPI;FILCTEM CGIL;FEMCA CISL;UILCEM UIL";"17/12/2009";"01/01/2010";"";"31/12/2012";"CHIMICA E AFFINI (Piccola e Media Impresa)"
"Accordo negoziale recante norme in tema di rappresentanti dei lavoratori per la sicurezza";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI;FABI;FIBA CISL";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"Accordo ponte di natura economica CCNL settore coibenti";"Accordo economico";"Chimici";"Federvarie Anicta; Fulc";"19/06/2003";"01/01/2002";"31/12/2003";"";"COIBENTAZIONI TERMICHE ACUSTICHE"
"Verbale di accordo CCNL coibentazioni termico acustiche";"Economico secondo biennio";"Chimici";"Anicta; Fulc";"12/05/2004";"01/01/2004";"31/12/2005";"";"COIBENTAZIONI TERMICHE ACUSTICHE"
"Accordo di rinnovo di 2° biennio del CCNL Settore Coibentazione Termo-Acustica";"Economico secondo biennio";"Chimici";"Anicta Federvarie; Fulc Nazionale";"24/03/2000";"01/01/2000";"";"31/12/2001";"COIBENTAZIONI TERMICHE ACUSTICHE"
"CHIMICO FARMACEUTICA e AFFINI: Industrie";"Economico secondo biennio";"Chimici";"ASS. NAZ. IMPRENDITORI COIBENTAZIONI TERMICHE ACUSTICHE (ANICTA); FULC NAZIONALE; FULC TERRITORIALI";"25/01/1996";"01/01/1996";"";"31/12/1997";"COIBENTAZIONI TERMICHE ACUSTICHE"
"Accordo di rinnovo del CCNL del settore coibenti";"Accordo di rinnovo";"Chimici";"Anicta Federvarie; Fulc Nazionale";"07/10/1998";"01/01/1998";"31/12/1999";"31/12/2001";"COIBENTAZIONI TERMICHE ACUSTICHE"
"CCNL Colf e Badanti";"Testo definitivo";"Commercio";"EUROCOLF; CONFEURO; E-ACADEMY; MIGRANTI; OVER 50; APS-ACADEMY";"09/06/2017";"01/10/2017";"";"31/12/2021";"LAVORATORI FAMILIARI, COLF E BADANTI"
"CCNL per i lavoratori agricoli";"Testo definitivo";"Agricoltura";"CONFEURO; EUROTER; EUROCOLTIVATORI; SOGGETTO GIURIDICO; E-ACADEMY";"07/06/2017";"01/10/2017";"";"31/12/2021";"LAVORATORI AGRICOLI"
"CCNL per i lavoratori dipendenti dalle imprese del settore Artigiano metalmeccanico ed affini artigiane";"Testo definitivo";"Meccanici";"FAPI; CESAC; FILDI CIU";"18/05/2017";"18/05/2017";"";"30/04/2020";"METALMECCANICA: Artigiane (FAPI-CESAC-FILDI CIU)"
"CCNL per i lavoratori dipendenti dalle imprese Edili Artigiane ed affini";"Testo definitivo";"Edilizia";"FAPI; CESAC; FILDI CIU";"18/05/2017";"18/05/2017";"";"30/04/2020";"EDILI: Imprese artigiane (FAPI-CESAC-FILDI CIU)"
"CCNL per i lavoratori dipendenti dalle imprese del settore acconciatura, estetica, tricologia non curativa, tatuaggi, piercing e centri benessere";"Testo definitivo";"Commercio";"FAPI; CESAC; FILDI CIU";"18/05/2017";"18/05/2017";"";"30/04/2020";"Acconciatura, Estetica, Tricologia non curativa, Tatuaggi, Piercing e Centri Benessere (FAPI-CESAC-FILDI CIU)"
"CCNL per i lavoratori dipendenti dalle Industrie";"Testo definitivo";"Altri Vari";"FAPI; CESAC; FILDI CIU";"01/06/2017";"01/06/2017";"";"31/05/2020";"INDUSTRIE (FAPI -CESAC - FILDI CIU)"
"ESAARCO CCNL per la tutela dei Lavoratori Autonomi";"Testo definitivo";"Altri Vari";"ESAARCO Confederazione Esercenti Agricoltori Artigiani Commercio; ESAARCO Sindacato Emigranti e Immigrati; ESAARCO Commercio; ESAARCO Vigilanza e Sicurezza; ESAARCO Artigianato; ESAARCO Servizi e Terziario; ESAARCO Autotrasporti NCC; ESAARCO Federazione Coltivatori Diretti; ESAARCO Fedrazione Imprenditori Agricoli; CEPA A Assocostruttori; CEPA A Industria; CEPA A Pesca; CEPA A Turismo; CEPA A Costruttori Edili ed Affini; CEPA A Commercio; CEPA A Sanità; CEPA A Scuola; CEPA A AIMA; CEPA A FEDERCOOP; FER; Federazione Nazionale Lavoratori della Chimica; Federazione Lavoratori del settore Agricoltura, Agriturismo e Florovivaisti; Federazione Lavoratori del settore Turismo; Federazione Nazionale Lavoratori Scuola Federata CSG; Organismo Nazionale Asseveratori della Sicurezza; FENAL Medici Federata; FENAL OSS Federata; CIU; Confederazione Lavoro Italia Federata CIU; SI CEL; FNAOPS CLI; ONAPS; Coordinamento Nazionale delle Professioni Olistiche; Federazione Nazionale del comparto Pesca CLI; Federazione Nazionale Lavoratori Artigianato CLI";"14/07/2017";"14/07/2017";"";"13/07/2020";"Lavoratori Autonomi (ESAARCO)"
"CCNL disciplinante i rapporti di lavoro domestico per il personale dipendente esercente l'attività di assistenza domiciliare non medica alla persona anche presso case di cura e strutture affini";"Testo definitivo";"Commercio";"UNSIC; UNSICOOP; FEDERDAT; CONFIAL";"13/07/2017";"01/07/2017";"";"30/06/2020";"Assistenza Domiciliare non Medica"
"CCNL per i soci e i dipendenti delle cooperative esercenti attività prevalente nel settore autotrasporto, spedizione merci, logistica e facchinaggio";"Testo definitivo";"Trasporti";"UNICOOP; UGL Viabilita' e Logistica; UGL";"11/07/2017";"11/07/2017";"";"10/07/2020";"AUTOTRASPORTO, SPEDIZIONE MERCI, LOGISTICA E FACCHINAGGIO (UNICOOP-UGL)"
"CCNL disciplinante i rapporti di lavoro subordinato posti in essere nel settore No Profit da imprese sociali, cooperative, associazioni, Fondazioni, ONG e Organizzazioni operanti nel settore assistenziale, sociale, socio-sanitario ed educativo";"Testo definitivo";"Enti e Istituzioni Private";"UNSIC; UNSICOOP; CONFIAL";"27/07/2017";"01/08/2017";"";"31/07/2020";"Terzo Settore (UNSIC-UNSICOOP-CONFIAL)"
"Verbale di accordo per il rinnovo del CCNL per il personale non imbarcato dipendente da cooperative esercenti attività di pesca marittima, attività di maricoltura, acquacoltura e vallicoltura";"Accordo di rinnovo";"Alimentaristi - Agroindustriale";"ACGI AGRITAL; FEDERCOOPESCA CONFCOOPERATIVE; LEGACOOP Agroalimentare Dipartimento Pesca; FAI CISL; FLAI CGIL; UILAPESCA";"26/07/2017";"01/08/2017";"";"31/12/2017";"PESCA: Cooperative"
"CCNL per i dipendenti delle aziende, i soci lavoratori e i dipendenti delle cooperative e loro consorzi che svolgono attività stagionale del settore turismo ai sensi dell'art. 1 DPR 11/07/1995 n. 378";"Testo definitivo";"Commercio";"CONFIMEA; FEDERTERZIARIO; CONFITER; IMPRESA ITALIA; CFC; UGL Terziario; UGL";"27/04/2017";"01/05/2017";"";"30/04/2020";"TURISMO: Attività Stagionale"
"Protocollo d'intesa per la sottoscrizione da parte di UAI - Unione del Terziario Commercio e Servizi - dei contratti inerenti le Aziende, le Cooperative, il commercio, il turismo e servizi, stipulati tra ANPIT, CIDEC, UNICA e CISAL TERZIARIO con l'assistenza della CISAL";"Verbale integrativo";"Commercio";"UAI Terziario; UAI PMI; CISAL TERZIARIO; CISAL";"05/06/2017";"";"";"";"VIGILANZA PRIVATA, INVESTIGAZIONI E SERVIZI FIDUCIARI"
