type|code|description|section
CLASS|10.91.00|Produzione di mangimi per l'alimentazione degli animali da allevamento|C
GROUP|10.92|Produzione di prodotti per l'alimentazione degli animali da compagnia|C
CLASS|10.92.0|Produzione di prodotti per l'alimentazione degli animali da compagnia|C
CLASS|10.92.00|Produzione di prodotti per l'alimentazione degli animali da compagnia|C
DIVISION|11|Produzione di bevande|C
GROUP|11.0|Produzione di bevande|C
GROUP|11.01|Distillazione| rettifica e miscelatura di alcolici|C
CLASS|11.01.0|Distillazione| rettifica e miscelatura di alcolici|C
CLASS|11.01.00|Distillazione| rettifica e miscelatura di alcolici|C
GROUP|11.02|Produzione di vini da uve|C
CLASS|11.02.1|Produzione di vini| esclusi vini spumanti e altri vini speciali|C
CLASS|11.02.10|Produzione di vini| esclusi vini spumanti e altri vini speciali|C
CLASS|11.02.2|Produzione di vini spumanti e altri vini speciali|C
CLASS|11.02.20|Produzione di vini spumanti e altri vini speciali|C
GROUP|11.03|Produzione di sidro e di altre bevande fermentate a base di frutta|C
CLASS|11.03.0|Produzione di sidro e di altre bevande fermentate a base di frutta|C
CLASS|11.03.00|Produzione di sidro e di altre bevande fermentate a base di frutta|C
GROUP|11.04|Produzione di altre bevande fermentate non distillate|C
CLASS|11.04.0|Produzione di altre bevande fermentate non distillate|C
CLASS|11.04.00|Produzione di altre bevande fermentate non distillate|C
GROUP|11.05|Produzione di birra|C
CLASS|11.05.0|Produzione di birra|C
CLASS|11.05.00|Produzione di birra|C
GROUP|11.06|Produzione di malto|C
CLASS|11.06.0|Produzione di malto|C
CLASS|11.06.00|Produzione di malto|C
GROUP|11.07|Produzione di bibite analcoliche e di acque in bottiglia|C
CLASS|11.07.0|Produzione di bibite analcoliche e di acque in bottiglia|C
CLASS|11.07.01|Produzione di bibite analcoliche|C
CLASS|11.07.02|Produzione di acque in bottiglia|C
DIVISION|12|Produzione di prodotti del tabacco|C
GROUP|12.0|Produzione di prodotti del tabacco|C
GROUP|12.00|Produzione di prodotti del tabacco|C
CLASS|12.00.0|Produzione di prodotti del tabacco|C
CLASS|12.00.00|Produzione di prodotti del tabacco|C
DIVISION|13|Fabbricazione di tessili|C
GROUP|13.1|Preparazione e filatura di fibre tessili|C
GROUP|13.10|Preparazione e filatura di fibre tessili|C
CLASS|13.10.0|Preparazione e filatura di fibre tessili|C
CLASS|13.10.00|Preparazione e filatura di fibre tessili|C
GROUP|13.2|Tessitura|C
GROUP|13.20|Tessitura|C
CLASS|13.20.0|Tessitura|C
CLASS|13.20.00|Tessitura|C
GROUP|13.3|Finissaggio dei tessili|C
GROUP|13.30|Finissaggio dei tessili|C
CLASS|13.30.0|Finissaggio dei tessili|C
CLASS|13.30.00|Finissaggio dei tessili|C
GROUP|13.9|Altre fabbricazioni tessili|C
GROUP|13.91|Fabbricazione di tessuti a maglia e all'uncinetto|C
CLASS|13.91.0|Fabbricazione di tessuti a maglia e all'uncinetto|C
CLASS|13.91.00|Fabbricazione di tessuti a maglia e all'uncinetto|C
GROUP|13.92|Fabbricazione di tessili per la casa e l'arredo|C
CLASS|13.92.1|Fabbricazione di tessili per la casa|C
CLASS|13.92.10|Fabbricazione di tessili per la casa|C
CLASS|13.92.2|Fabbricazione di tessili per l'arredo|C
CLASS|13.92.20|Fabbricazione di tessili per l'arredo|C
GROUP|13.93|Fabbricazione di tappeti e moquette|C
CLASS|13.93.0|Fabbricazione di tappeti e moquette|C
CLASS|13.93.00|Fabbricazione di tappeti e moquette|C
GROUP|13.94|Fabbricazione di spago| corde| funi e reti|C
CLASS|13.94.0|Fabbricazione di spago| corde| funi e reti|C
CLASS|13.94.00|Fabbricazione di spago| corde| funi e reti|C
GROUP|13.95|Fabbricazione di tessuti non-tessuti e di articoli in tessuto non-tessuto|C
CLASS|13.95.0|Fabbricazione di tessuti non-tessuti e di articoli in tessuto non-tessuto|C
CLASS|13.95.00|Fabbricazione di tessuti non-tessuti e di articoli in tessuto non-tessuto|C
GROUP|13.96|Fabbricazione di altri tessuti per uso tecnico e industriale|C
CLASS|13.96.0|Fabbricazione di altri tessuti per uso tecnico e industriale|C
CLASS|13.96.00|Fabbricazione di altri tessuti per uso tecnico e industriale|C
GROUP|13.99|Fabbricazione di altri prodotti tessili n.c.a.|C
CLASS|13.99.1|Fabbricazione di ricami| tulle| pizzi e merletti|C
CLASS|13.99.10|Fabbricazione di ricami| tulle| pizzi e merletti|C
CLASS|13.99.9|Fabbricazione di feltro e altri prodotti tessili diversi n.c.a.|C
CLASS|13.99.90|Fabbricazione di feltro e altri prodotti tessili diversi n.c.a.|C
DIVISION|14|Fabbricazione di articoli di abbigliamento|C
GROUP|14.1|Fabbricazione di articoli a maglia e all'uncinetto|C
GROUP|14.10|Fabbricazione di articoli a maglia e all'uncinetto|C
CLASS|14.10.1|Fabbricazione di articoli di calzetteria a maglia e all'uncinetto|C
CLASS|14.10.10|Fabbricazione di articoli di calzetteria a maglia e all'uncinetto|C
CLASS|14.10.2|Fabbricazione di maglioni e altri articoli a maglia e all'uncinetto|C
CLASS|14.10.20|Fabbricazione di maglioni e altri articoli a maglia e all'uncinetto|C
GROUP|14.2|Fabbricazione di altri articoli di abbigliamento e accessori|C
GROUP|14.21|Fabbricazione di abbigliamento esterno|C
CLASS|14.21.1|Fabbricazione in serie di abbigliamento esterno|C
CLASS|14.21.10|Fabbricazione in serie di abbigliamento esterno|C
CLASS|14.21.2|Sartoria e confezione su misura di abbigliamento esterno|C
CLASS|14.21.20|Sartoria e confezione su misura di abbigliamento esterno|C
GROUP|14.22|Fabbricazione di biancheria intima|C
CLASS|14.22.0|Fabbricazione di biancheria intima|C
CLASS|14.22.00|Fabbricazione di biancheria intima|C
GROUP|14.23|Fabbricazione di indumenti da lavoro|C
CLASS|14.23.0|Fabbricazione di indumenti da lavoro|C
CLASS|14.23.00|Fabbricazione di indumenti da lavoro|C
GROUP|14.24|Fabbricazione di abbigliamento in pelle e in pelliccia|C
CLASS|14.24.0|Fabbricazione di abbigliamento in pelle e in pelliccia|C
CLASS|14.24.00|Fabbricazione di abbigliamento in pelle e in pelliccia|C
GROUP|14.29|Fabbricazione di altri articoli di abbigliamento e accessori n.c.a.|C
CLASS|14.29.0|Fabbricazione di altri articoli di abbigliamento e accessori n.c.a.|C
CLASS|14.29.00|Fabbricazione di altri articoli di abbigliamento e accessori n.c.a.|C
DIVISION|15|Fabbricazione di pelli e cuoi e articoli in pelle e simili di altri materiali|C
GROUP|15.1|Concia| tintura e rifinizione di pelli| cuoi e pellicce; fabbricazione di articoli da|C
GROUP|15.11|Concia| tintura e rifinizione di pelli| cuoi e pellicce|C
CLASS|15.11.0|Concia| tintura e rifinizione di pelli| cuoi e pellicce|C
CLASS|15.11.00|Concia| tintura e rifinizione di pelli| cuoi e pellicce|C
GROUP|15.12|Fabbricazione di articoli da viaggio| borse| pelletteria e selleria di qualsiasi materiale|C
CLASS|15.12.0|Fabbricazione di articoli da viaggio| borse| pelletteria e selleria di qualsiasi materiale|C
CLASS|15.12.00|Fabbricazione di articoli da viaggio| borse| pelletteria e selleria di qualsiasi materiale|C
GROUP|15.2|Fabbricazione di calzature|C
GROUP|15.20|Fabbricazione di calzature|C
CLASS|15.20.1|Fabbricazione di calzature| escluse parti in cuoio per calzature|C
